age,income,employment_type,housing_status,years_at_job,years_at_address,region,has_bank_account,loan_purpose,loan_amount,secured,dti,num_inquiries_6m,num_delinquencies_24m,num_collections,card_utilization,default_12m,lgd
65,23226.32,retired,mortgage,6.07,3.5,metro,1,education,7590.57,0,0.7323,1,0,0,0.8272,0,
45,41356.97,public_sector,rent,7.19,14.29,rural,1,other,6269.76,0,0.4702,2,0,1,0.7104,0,
36,53344.72,private,rent,5.05,4.2,metro,1,home_improvement,13841.49,0,0.5523,3,2,1,0.498,1,0.0
35,60997.31,self_employed,mortgage,0.45,4.51,metro,1,small_business,38679.28,0,0.935,0,0,0,0.5117,0,
37,34350.86,self_employed,own,6.87,4.02,suburban,1,small_business,17024.01,0,0.7391,0,0,0,0.509,1,1.0
25,56270.75,private,own,8.49,9.73,metro,1,education,18949.63,0,0.5744,2,0,0,0.6299,0,
49,55862.38,public_sector,rent,14.19,5.16,metro,1,debt_consolidation,9481.86,1,0.5664,2,1,0,0.4732,0,
36,138187.76,private,own,11.51,5.86,metro,1,home_improvement,20383.55,0,0.5478,1,0,0,0.648,0,
36,60808.05,private,rent,5.4,8.49,metro,1,education,16355.7,0,0.6597,1,2,0,0.5823,0,
20,19790.37,student,family,8.29,11.86,metro,1,car,2525.03,1,0.5421,2,1,0,0.4712,0,
28,55657.95,private,mortgage,4.68,9.75,metro,1,debt_consolidation,32162.82,1,0.9047,2,0,0,0.6496,0,
70,45260.15,self_employed,mortgage,0.15,2.83,rural,1,debt_consolidation,8364.3,1,0.5847,2,1,0,0.4249,0,
49,36347.96,private,rent,7.45,7.96,metro,1,debt_consolidation,13234.68,0,0.7429,2,1,0,0.429,0,
39,57312.74,private,rent,4.7,8.68,metro,1,debt_consolidation,43190.96,0,0.95,1,1,1,0.5862,0,
51,34004.88,private,rent,5.55,3.56,metro,1,other,10497.59,0,0.656,2,0,0,0.7469,0,
41,14750.28,private,mortgage,4.02,7.69,suburban,0,other,2673.06,0,0.5614,1,1,0,0.494,0,
37,25695.93,student,rent,6.24,7.07,metro,0,small_business,11777.26,0,0.8128,6,1,0,0.4424,0,
33,137717.97,self_employed,mortgage,2.54,6.6,rural,1,debt_consolidation,18773.78,1,0.5513,1,1,1,0.5573,0,
51,12238.63,student,mortgage,6.38,5.26,metro,1,home_improvement,4319.61,0,0.6752,0,0,0,0.4545,1,0.49050234705080187
18,40749.03,private,rent,5.82,4.17,metro,1,small_business,14474.38,0,0.7194,2,0,0,0.4682,0,
25,26365.05,public_sector,mortgage,6.54,8.13,suburban,1,debt_consolidation,8426.24,0,0.651,2,0,0,0.4963,0,
43,43965.07,private,family,6.08,0.54,metro,1,debt_consolidation,22041.3,0,0.8146,1,2,1,0.6709,0,
48,37999.87,private,rent,7.6,3.59,suburban,1,debt_consolidation,21525.32,0,0.8522,3,1,1,,0,
35,21236.92,public_sector,mortgage,9.91,9.14,metro,1,debt_consolidation,7962.39,0,0.6525,3,0,0,0.4838,0,
51,29293.84,public_sector,mortgage,6.93,4.27,suburban,1,debt_consolidation,6704.72,0,0.5657,1,1,0,,0,
38,12458.3,private,own,3.07,5.22,suburban,1,other,1594.47,0,0.4556,1,0,0,0.5226,0,
45,32340.19,public_sector,rent,11.73,7.26,suburban,1,debt_consolidation,8266.54,0,0.6338,2,0,0,0.4901,0,
39,46267.79,private,rent,4.24,8.22,suburban,1,home_improvement,17877.94,1,0.8005,4,1,1,0.5074,0,
45,33018.09,private,own,4.24,11.24,suburban,1,home_improvement,5890.33,0,0.538,0,0,0,0.5947,0,
49,50127.45,private,own,10.51,9.12,rural,1,education,18503.74,0,0.7241,0,3,0,0.5147,0,
36,48714.66,private,rent,3.53,3.55,suburban,1,debt_consolidation,12236.2,0,0.5953,3,1,0,0.5919,0,
57,59043.92,private,mortgage,8.96,6.28,rural,1,debt_consolidation,20324.12,0,0.6427,1,2,0,0.3713,0,
47,45015.3,self_employed,own,0.0,7.73,rural,1,debt_consolidation,16337.81,0,0.7632,1,1,1,0.6468,0,
24,15934.06,private,mortgage,5.53,4.27,rural,1,debt_consolidation,2939.76,0,0.5432,0,0,0,0.4192,0,
38,116534.43,private,rent,4.85,1.88,metro,1,debt_consolidation,28121.34,0,0.6376,2,1,0,0.6778,0,
62,31641.3,private,mortgage,8.23,3.94,metro,1,debt_consolidation,31731.43,1,0.95,1,0,0,0.4156,0,
62,32662.78,private,mortgage,12.66,7.55,suburban,1,other,8183.72,0,0.5652,2,1,0,0.6229,0,
48,70512.11,private,rent,6.13,6.17,rural,1,home_improvement,35852.79,0,0.815,3,1,0,0.707,0,
48,36883.57,private,mortgage,12.92,9.57,metro,1,debt_consolidation,15419.74,1,0.7177,5,0,0,,0,
45,16515.32,public_sector,rent,14.41,3.98,suburban,1,other,5112.7,0,0.692,3,1,0,0.5013,0,
60,65228.49,private,family,4.03,3.87,metro,1,car,18856.14,1,0.5925,1,1,0,,0,
43,21252.04,private,own,3.66,7.44,metro,1,debt_consolidation,10576.67,0,0.7973,0,3,0,0.6638,0,
49,35765.81,private,rent,11.65,2.62,metro,0,other,7058.55,0,0.5232,3,0,0,0.5829,0,
39,27572.72,public_sector,own,7.47,4.2,metro,1,small_business,9251.26,0,0.714,0,2,0,0.4687,0,
53,30452.91,private,rent,6.02,1.53,metro,1,other,14213.83,0,0.8486,0,0,0,0.875,0,
30,85431.56,public_sector,mortgage,6.49,3.56,metro,1,car,30463.18,1,0.6105,4,2,0,0.5531,0,
51,33468.3,public_sector,mortgage,13.71,7.42,suburban,1,debt_consolidation,18771.23,0,0.8593,2,2,0,0.5395,0,
49,38688.32,private,rent,4.6,4.32,metro,1,debt_consolidation,11361.83,0,0.5912,0,0,0,,0,
30,37316.31,self_employed,mortgage,2.79,3.37,suburban,1,other,23116.04,0,0.95,0,0,0,0.7006,0,
33,30601.23,private,mortgage,3.88,3.62,rural,1,education,14426.2,1,0.7893,2,2,1,0.5902,0,
34,67910.92,private,mortgage,3.05,3.87,metro,1,car,13965.1,1,0.5998,2,1,1,,0,
37,43022.92,private,mortgage,4.55,6.45,suburban,1,car,7322.87,1,0.5011,1,0,0,0.5726,0,
50,71237.75,private,rent,9.0,3.46,metro,1,home_improvement,11670.86,0,0.5321,3,0,1,0.4869,0,
54,80385.42,private,own,7.65,16.03,suburban,1,education,39572.53,0,0.7645,2,2,1,0.5736,0,
34,43750.15,private,own,3.26,7.51,metro,1,debt_consolidation,11223.83,0,0.5752,3,2,0,0.7914,0,
52,30977.08,private,family,4.97,1.3,suburban,1,other,12278.4,0,0.7411,2,0,0,0.4442,0,
51,46902.02,public_sector,rent,8.21,3.76,metro,1,home_improvement,15025.73,1,0.6499,2,0,0,0.4451,0,
49,43787.44,self_employed,rent,10.25,5.92,rural,1,home_improvement,14288.95,0,0.7056,2,1,0,0.6562,0,
48,39023.14,retired,rent,2.33,9.06,metro,1,small_business,10415.02,0,0.5834,1,4,0,0.7642,0,
53,12674.48,public_sector,mortgage,7.61,4.11,rural,1,debt_consolidation,6604.52,0,0.7397,1,1,0,0.5326,0,
52,56556.39,private,rent,5.44,1.36,metro,1,home_improvement,17975.32,1,0.7259,3,0,0,0.6227,0,
33,12035.17,private,mortgage,15.65,9.49,metro,1,home_improvement,8558.26,1,0.8343,0,0,0,0.6021,0,
35,83418.56,private,rent,7.63,5.24,metro,0,debt_consolidation,6964.6,0,0.5281,3,0,0,0.6975,0,
55,16421.72,private,mortgage,5.95,7.94,suburban,1,education,11727.89,0,0.9419,1,3,1,,1,1.0
57,63496.9,private,own,7.59,9.94,metro,1,debt_consolidation,19705.23,0,0.6152,4,2,1,0.5915,0,
57,48959.2,private,own,6.26,7.95,suburban,1,debt_consolidation,6872.57,0,0.5086,1,0,0,0.5343,0,
23,83403.08,self_employed,rent,0.81,5.71,metro,1,debt_consolidation,12066.44,0,0.5062,4,0,0,0.6308,0,
51,30822.3,student,rent,3.99,5.62,metro,1,debt_consolidation,8603.23,0,0.6134,3,2,0,0.5905,0,
52,48795.21,private,mortgage,4.94,6.32,rural,1,other,3976.33,0,0.5145,3,0,1,0.5667,0,
42,28171.11,self_employed,mortgage,1.12,4.27,suburban,1,car,19348.49,0,0.95,3,0,0,0.5706,0,
45,32629.35,public_sector,rent,7.95,3.3,metro,1,other,13272.83,0,0.8243,0,0,0,0.7959,1,0.9951299844693877
41,28098.31,student,rent,10.66,6.91,metro,1,car,7751.0,0,0.613,7,0,0,0.6212,0,
63,19315.7,private,mortgage,7.14,11.19,suburban,1,debt_consolidation,18972.62,0,0.95,2,0,1,0.8889,0,
28,93789.47,self_employed,rent,3.39,1.5,metro,1,car,30068.05,1,0.721,1,0,0,0.5458,0,
57,45585.08,private,mortgage,8.74,5.1,metro,1,car,27840.98,1,0.9031,1,0,0,0.4638,0,
55,8813.1,unemployed,mortgage,5.94,1.5,metro,1,home_improvement,6379.25,1,0.95,1,2,0,0.4103,0,
63,41742.87,private,rent,7.02,6.05,suburban,1,debt_consolidation,21826.17,0,0.7377,0,2,0,0.6591,0,
19,96613.29,public_sector,mortgage,7.28,8.47,rural,1,education,8147.63,0,0.3055,0,0,1,0.5085,0,
18,22687.27,self_employed,rent,2.27,5.95,rural,1,debt_consolidation,6030.51,0,0.7023,2,0,0,0.8016,0,
25,27567.51,private,mortgage,7.49,2.66,suburban,0,debt_consolidation,6938.34,0,0.631,1,0,0,0.6549,0,
57,27426.06,public_sector,rent,8.48,5.24,suburban,1,debt_consolidation,5950.21,0,0.6239,1,1,0,0.572,0,
51,30665.13,private,rent,11.78,3.92,suburban,1,debt_consolidation,5708.1,0,0.4896,2,0,0,0.5194,0,
49,81385.65,self_employed,rent,2.68,3.65,metro,1,debt_consolidation,37335.14,0,0.8127,0,2,0,0.6048,0,
34,27461.61,private,mortgage,6.56,3.15,suburban,1,small_business,4631.43,0,0.6273,1,1,0,0.5226,0,
55,42448.34,private,family,4.73,4.82,metro,1,debt_consolidation,8544.23,0,0.6645,0,2,0,0.5076,0,
35,36775.34,private,rent,9.76,0.39,suburban,0,small_business,15925.89,1,0.7186,2,2,2,0.4751,0,
63,16914.1,private,mortgage,5.43,5.24,metro,1,debt_consolidation,8916.59,0,0.9136,2,0,0,0.721,0,
43,70434.94,private,rent,8.41,4.47,metro,1,home_improvement,22148.55,1,0.614,2,3,1,0.6165,0,
61,33906.41,retired,mortgage,7.13,2.82,metro,1,car,8230.56,1,0.6757,3,2,0,0.4501,0,
51,34662.45,private,mortgage,7.94,6.11,suburban,1,home_improvement,17878.61,0,0.8597,1,0,0,0.5394,0,
56,82638.2,retired,family,1.84,4.44,metro,1,home_improvement,28841.62,1,0.7009,4,0,0,0.5247,0,
52,49747.62,private,rent,4.51,6.78,metro,1,car,14163.58,0,0.6738,3,3,1,0.7382,0,
67,27235.66,retired,rent,1.32,2.95,metro,1,debt_consolidation,5087.61,0,0.6162,4,3,1,0.6067,0,
47,38398.68,private,rent,3.59,5.29,suburban,1,home_improvement,8539.28,1,0.6158,6,1,0,0.5643,0,
36,24861.17,private,mortgage,11.28,10.73,metro,1,home_improvement,3343.59,0,0.4587,0,0,0,0.3477,0,
38,24284.34,unemployed,own,4.72,8.63,suburban,1,small_business,14786.74,0,0.9081,4,0,0,0.601,0,
53,42727.56,self_employed,own,4.27,4.21,suburban,1,education,21456.32,0,0.8368,1,1,0,0.5526,0,
52,31181.55,private,own,5.12,17.95,rural,1,debt_consolidation,34277.9,0,0.95,2,0,0,,0,
73,25140.29,retired,rent,1.68,6.03,suburban,0,debt_consolidation,8700.81,0,0.6719,3,1,0,0.6183,0,
26,20785.26,private,own,6.63,6.21,metro,1,education,7245.31,0,0.6154,2,0,0,0.3744,0,
46,36922.26,private,own,8.82,10.22,metro,1,home_improvement,14939.78,0,0.6618,2,1,0,0.4861,0,
39,17245.0,private,rent,12.31,1.42,rural,1,other,10139.27,0,0.896,2,2,0,0.6777,0,
72,30870.12,private,mortgage,8.71,4.65,metro,1,debt_consolidation,14226.44,0,0.7653,2,3,0,0.4979,1,1.0
51,35521.78,private,rent,6.93,1.81,suburban,1,small_business,6432.81,0,0.5437,2,0,0,0.5479,0,
51,20062.7,public_sector,rent,8.08,5.25,suburban,1,debt_consolidation,7455.88,1,0.65,5,1,0,0.6389,0,
40,79349.59,public_sector,rent,8.23,9.55,suburban,1,car,4965.71,0,0.3938,1,0,0,0.5062,0,
61,32770.52,private,own,7.65,4.29,metro,1,debt_consolidation,11821.39,1,0.7043,1,2,0,,0,
43,40893.9,private,rent,2.94,6.24,suburban,1,debt_consolidation,8051.43,0,0.6193,4,1,0,0.4212,0,
54,52352.3,retired,own,3.75,5.4,metro,1,debt_consolidation,11780.97,0,0.5473,1,0,1,0.6695,0,
37,46983.0,private,mortgage,7.1,4.99,rural,1,education,42917.78,0,0.95,3,0,0,0.5434,0,
41,33166.46,private,rent,6.0,3.12,suburban,1,home_improvement,16345.84,1,0.8594,4,1,0,0.56,0,
45,42046.14,self_employed,own,0.0,13.17,rural,1,small_business,16578.68,1,0.7413,2,0,0,0.7147,0,
38,65669.2,private,mortgage,6.04,4.6,rural,1,home_improvement,22059.21,1,0.6718,3,2,0,,0,
38,11633.66,unemployed,rent,6.05,1.89,metro,1,debt_consolidation,6195.84,0,0.8607,3,4,0,0.9202,1,1.0
30,35671.54,private,rent,4.09,16.3,suburban,1,debt_consolidation,13613.84,0,0.7152,1,0,0,0.5218,0,
26,41101.53,self_employed,family,7.52,2.53,rural,1,debt_consolidation,7303.66,0,0.5481,0,0,0,0.5809,0,
54,48831.38,self_employed,mortgage,2.74,2.73,rural,1,debt_consolidation,7624.26,0,0.5757,4,3,0,0.5046,0,
72,96401.49,self_employed,family,8.68,0.66,suburban,1,other,25827.96,0,0.642,2,0,0,0.5173,1,1.0
47,12255.05,retired,rent,8.56,1.85,rural,1,other,7020.22,0,0.8963,2,0,0,0.5497,0,
65,39623.83,private,rent,5.96,1.71,metro,0,car,19098.74,1,0.7671,2,1,0,0.6445,0,
43,24457.04,public_sector,mortgage,9.78,2.19,suburban,1,debt_consolidation,8722.71,0,0.7736,2,1,0,0.8395,0,
32,93840.96,self_employed,rent,0.0,13.74,suburban,1,small_business,18773.02,0,0.619,1,1,0,0.5191,0,
42,32004.93,private,mortgage,10.48,6.65,metro,1,small_business,9094.05,1,0.6355,4,1,0,0.393,0,
44,87768.89,public_sector,family,7.94,6.83,metro,1,home_improvement,18392.68,0,0.5809,0,1,0,0.5417,0,
34,22082.68,retired,family,7.66,2.59,rural,1,debt_consolidation,7186.21,0,0.774,0,2,0,0.6023,0,
45,44461.53,public_sector,rent,14.52,10.18,suburban,1,small_business,20771.91,0,0.6548,2,0,0,0.7483,0,
43,81264.36,private,rent,3.91,3.58,suburban,1,debt_consolidation,30197.45,0,0.8474,4,1,1,0.664,0,
42,63399.85,private,own,6.9,8.56,metro,0,debt_consolidation,15989.69,0,0.5884,4,1,0,0.5592,0,
43,65962.46,self_employed,own,1.12,5.51,metro,1,debt_consolidation,12327.01,0,0.693,1,1,0,0.4318,0,
42,42520.11,private,own,8.4,5.21,suburban,1,small_business,34604.37,0,0.95,4,1,0,0.6018,1,0.9840846670853964
19,44530.55,private,rent,3.44,5.84,metro,1,other,24022.52,0,0.7986,3,1,0,0.5841,0,
37,33505.62,private,family,4.09,2.53,rural,1,debt_consolidation,4412.47,0,0.4855,0,0,0,0.412,0,
33,18750.9,private,mortgage,3.63,13.4,metro,1,car,17556.3,1,0.95,1,3,2,0.6427,1,0.0
45,63475.21,private,own,3.97,15.54,metro,1,debt_consolidation,7662.23,0,0.5533,1,1,0,0.5664,0,
42,14570.98,self_employed,rent,0.71,5.14,metro,1,debt_consolidation,4598.94,0,0.8136,0,1,2,0.659,0,
51,58022.55,private,own,6.15,7.96,metro,1,debt_consolidation,21711.13,0,0.6953,2,2,1,0.4665,0,
45,55269.36,self_employed,rent,0.61,3.07,metro,1,small_business,6502.83,0,0.5709,2,2,0,0.2148,0,
53,40755.54,private,rent,6.04,1.48,suburban,1,other,22517.85,0,0.8317,6,2,0,0.6365,0,
43,47255.79,public_sector,own,9.8,16.98,suburban,1,home_improvement,13822.5,0,0.6515,3,0,0,0.362,0,
42,46022.56,self_employed,rent,0.0,9.78,metro,1,debt_consolidation,11903.26,0,0.652,2,0,0,0.6794,0,
60,51476.4,retired,own,0.69,13.04,suburban,0,other,8395.61,0,0.4814,0,0,0,0.3778,0,
45,29777.05,retired,rent,2.66,3.28,metro,1,debt_consolidation,8251.11,0,0.6003,1,1,2,0.4262,0,
32,26436.7,private,rent,9.2,4.09,suburban,1,other,7084.82,0,0.6749,0,1,0,0.6692,0,
60,29131.2,private,rent,5.94,7.36,metro,1,debt_consolidation,15068.56,0,0.8466,1,1,0,0.5252,0,
21,24861.98,public_sector,own,12.65,13.0,metro,1,home_improvement,11719.06,0,0.7416,1,2,0,0.449,0,
62,35506.61,self_employed,rent,7.33,2.34,metro,1,other,6612.99,0,0.605,5,0,0,0.4611,0,
48,31328.31,private,mortgage,4.12,8.88,suburban,1,other,21098.91,0,0.8619,2,2,0,0.5982,0,
34,20673.27,student,rent,0.3,5.68,metro,1,debt_consolidation,5792.28,0,0.6438,1,6,0,0.6513,0,
33,42608.9,public_sector,mortgage,9.96,7.85,suburban,1,debt_consolidation,9506.07,1,0.5287,1,0,0,0.5028,0,
40,62460.92,private,mortgage,8.0,2.51,metro,1,small_business,58432.86,0,0.95,2,1,0,0.568,0,
36,48336.6,public_sector,rent,9.67,5.39,suburban,0,debt_consolidation,31052.4,0,0.9111,5,2,2,0.7037,0,
49,27299.34,retired,mortgage,2.5,9.71,rural,1,home_improvement,34276.57,0,0.95,2,4,1,,1,0.0
45,40610.42,public_sector,mortgage,9.88,7.42,metro,1,home_improvement,23207.13,0,0.8519,1,2,0,0.5532,0,
25,47736.28,private,rent,4.97,2.59,metro,1,other,4819.96,0,0.4799,0,0,0,0.4445,0,
25,32464.5,public_sector,mortgage,9.01,3.67,metro,1,home_improvement,15342.94,1,0.8077,2,1,2,0.6473,0,
49,49874.29,private,own,2.94,9.0,metro,1,education,22026.8,0,0.75,1,0,0,0.5568,0,
57,31346.84,student,mortgage,4.56,5.53,suburban,1,small_business,14619.71,1,0.8126,3,3,0,0.8185,0,
50,47718.57,private,rent,8.29,1.93,metro,0,small_business,7195.69,0,0.5508,1,2,0,,0,
60,123642.34,self_employed,mortgage,3.51,7.83,metro,0,debt_consolidation,32749.0,1,0.6117,2,0,0,0.3898,0,
61,57605.6,private,mortgage,3.92,3.85,suburban,1,small_business,51102.42,0,0.9452,2,0,0,0.604,1,1.0
37,23639.77,student,rent,3.91,5.9,suburban,1,small_business,6960.36,1,0.6422,6,0,0,0.7918,0,
43,68131.1,retired,rent,9.8,4.66,metro,1,debt_consolidation,14336.86,0,0.5445,3,0,0,0.5269,0,
51,27950.42,private,rent,4.38,3.38,metro,1,small_business,10991.67,0,0.7394,4,1,0,0.5152,0,
72,57101.49,retired,mortgage,5.0,4.1,suburban,1,education,18558.35,0,0.5953,2,0,0,0.6694,0,
43,55216.08,private,mortgage,7.47,8.1,metro,0,car,10218.57,0,0.4792,1,0,1,0.3768,0,
27,44289.91,private,mortgage,8.2,5.9,metro,1,car,10230.78,1,0.5589,2,1,0,0.4747,0,
49,49906.26,retired,rent,4.23,3.06,metro,1,small_business,13057.56,0,0.6591,3,1,0,0.407,0,
41,32138.35,private,rent,6.02,1.87,metro,1,debt_consolidation,12281.46,0,0.7431,2,2,1,0.683,0,
52,39714.6,private,mortgage,3.85,8.01,rural,1,other,14808.54,0,0.7824,5,0,0,0.5901,0,
42,28417.72,private,rent,9.03,5.44,metro,1,debt_consolidation,16638.83,0,0.8298,4,0,0,0.6598,0,
34,28219.69,private,rent,9.66,1.51,metro,1,other,13917.31,0,0.8716,2,0,1,0.5945,0,
27,79453.1,private,mortgage,11.39,2.54,suburban,1,education,41100.48,0,0.7977,0,1,0,0.6764,0,
40,12961.52,student,rent,5.16,2.36,rural,1,car,2284.59,0,0.614,2,0,0,0.6599,0,
60,86154.29,private,mortgage,5.61,1.83,metro,1,small_business,78711.09,1,0.95,1,1,0,0.6745,0,
33,51899.67,public_sector,mortgage,11.3,2.46,rural,1,other,12842.85,0,0.5888,3,0,0,0.5793,0,
25,17501.87,student,rent,2.09,1.85,metro,1,other,7178.75,0,0.7508,4,1,0,0.8704,0,
56,49487.12,private,mortgage,4.22,2.51,suburban,1,debt_consolidation,11984.21,1,0.6075,1,0,0,0.4381,0,
36,30703.18,private,own,7.88,7.59,metro,1,car,4139.94,0,0.4547,1,0,0,0.595,0,
24,23641.49,public_sector,rent,11.38,7.79,suburban,1,home_improvement,9607.43,0,0.7259,2,0,0,0.7642,0,
31,75580.06,private,own,4.56,13.84,suburban,1,debt_consolidation,28947.47,0,0.7051,0,0,0,,0,
31,25413.99,private,mortgage,4.22,2.58,metro,1,debt_consolidation,7332.77,0,0.7073,2,2,0,0.6335,0,
32,63717.68,private,family,3.2,2.48,metro,1,debt_consolidation,16712.94,0,0.6439,1,3,0,0.5489,0,
37,20282.3,retired,mortgage,1.56,8.85,metro,1,small_business,6701.68,0,0.6896,2,0,0,,0,
58,54128.28,private,rent,9.97,6.9,metro,1,car,17767.33,0,0.6809,1,1,0,0.5553,0,
25,72502.96,private,family,11.66,5.66,metro,0,debt_consolidation,12817.51,0,0.4807,2,0,0,0.5576,0,
59,17092.89,private,mortgage,5.81,9.24,rural,1,small_business,18106.04,0,0.95,1,0,0,0.6915,1,1.0
53,54802.75,private,rent,3.75,7.75,metro,1,debt_consolidation,8464.81,0,0.4971,2,0,0,0.5785,0,
25,40299.54,private,mortgage,8.82,2.67,rural,1,education,28554.96,0,0.861,4,1,0,0.8226,0,
32,33581.94,private,own,6.17,5.34,suburban,1,home_improvement,12157.48,0,0.7278,1,0,0,0.5103,0,
61,57434.21,private,mortgage,5.73,6.36,rural,1,debt_consolidation,20189.93,1,0.5792,3,1,0,0.5771,0,
40,40307.63,private,rent,4.47,6.67,metro,1,debt_consolidation,15412.81,1,0.7187,3,1,0,0.5598,1,0.23945221525261715
29,39274.91,private,rent,3.51,3.92,metro,1,other,5604.99,0,0.5639,2,1,0,0.541,0,
50,51373.95,self_employed,mortgage,3.54,4.46,metro,1,debt_consolidation,24397.64,0,0.8194,1,2,0,0.6457,0,
58,21225.21,retired,mortgage,1.77,11.23,rural,1,other,4749.04,0,0.6661,1,1,0,0.4144,0,
36,27381.74,private,mortgage,18.72,12.02,rural,1,debt_consolidation,6252.5,0,0.5252,1,0,0,0.53,0,
36,19077.2,private,rent,3.17,1.29,rural,0,home_improvement,5047.64,0,0.599,3,2,1,0.6431,1,0.3253952816651699
32,45567.11,private,mortgage,3.52,4.57,suburban,1,debt_consolidation,14461.07,0,0.6779,1,0,0,0.5821,0,
52,19264.35,private,mortgage,10.78,6.74,metro,1,debt_consolidation,6303.63,0,0.6,1,2,0,0.6176,0,
25,50416.89,self_employed,mortgage,0.0,10.37,metro,1,debt_consolidation,9012.05,1,0.5856,1,1,0,0.5426,0,
55,32555.67,private,rent,5.52,9.82,metro,1,other,13861.74,0,0.6758,2,2,1,0.4936,0,
32,20608.9,retired,own,1.99,7.55,suburban,1,car,5159.3,1,0.6717,2,0,0,0.7483,0,
23,52074.36,private,family,3.54,5.45,metro,1,debt_consolidation,14802.98,0,0.7107,3,2,1,0.4059,0,
54,36066.88,retired,mortgage,1.96,4.34,suburban,1,debt_consolidation,11322.51,1,0.6177,3,2,0,0.4913,0,
27,34846.44,private,rent,3.61,1.83,metro,1,car,37952.24,1,0.95,2,1,0,0.6553,0,
31,28898.35,private,family,3.15,8.42,suburban,1,other,7202.25,1,0.6161,1,1,0,0.509,0,
44,52531.2,private,rent,6.57,5.35,metro,0,debt_consolidation,12881.76,0,0.5811,3,1,0,0.3972,0,
41,20803.31,private,rent,6.37,5.58,metro,1,debt_consolidation,5135.53,1,0.7395,1,0,0,0.65,0,
43,80275.37,private,rent,4.2,4.75,metro,1,debt_consolidation,64568.93,0,0.9076,1,1,0,0.6802,0,
